Timestamp,What class year are you?,What grade did you receive in Civil Procedure?,What grade did you receive in Contracts?,What grade did you receive in Criminal Law/Torts?,Did your expectations match up with the grades you received?,Do you feel the grades received match your understanding of the course material?,Do you feel the grades received reflect the level of effort you put in last semester?,Do the grades you received feel arbitrary?,How does the grading system at NYU affect your mental health? Explain:,Do you feel a different grading system is warranted?,Would you prefer a Pass/Fail grading system for 1L?,"Do the grades you received change your future plans (internship, career etc.)",What do you plan on doing after you graduate? (feel free to select multiple),Would you prefer the proposed grading system to the grading system NYU Law currently has?,How do you think the proposed grading system would affect your mental health? ,Please share how you think the proposed grading system would impact you:,Please provide any additional feedback or comments you wish to share about the proposed grading system:,What is your racial/ethnic identity?,What is your gender identity?,Do you identify as LGBTQ+,Do you identify as a person with a disability?,Are you a first-generation professional?
2/22/2020 9:46:45,1L,A,B+,B,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Was shocked because it did not match with my efforts put in,Strongly Agree,Strongly Agree,"Strongly Agree, Agree",Private Law,Yes,,,,Prefer Not to Answer,Prefer Not to Answer,No,No,Yes
2/22/2020 9:47:32,1L,B+,A-,B,Disagree,Disagree,Disagree,Agree,"I hated not having a good sense of my performance until a single evaluation,",Neutral,Agree,Agree,Public Interest/Government,No,,,,White,Female,Yes,No,Yes
2/22/2020 9:47:46,1L,B,B+,B,Neutral,Disagree,Disagree,Agree,Feel like you have to throw up your hands and not care and then go back for a second semester of caring ,Agree,Strongly Agree,Agree,"Private Law, Public Interest/Government",Yes,Better,"It would have made me more competitive for different summer things, which is good and bad",Why not just do normal letter grading after the first year,White,Male,No,No,No
2/22/2020 9:48:41,1L,A-,A-,A-,Agree,Neutral,Neutral,Agree,"It feels like a race to the bottom. Like no matter how hard I work, there’s someone who will work harder, and because the grades are based on how everyone else did relative to you, it all feels a bit futile.",Strongly Agree,Agree,Disagree,Public Interest/Government,Yes,I would feel like I could have a life beyond law school. Could get to the gym more often. Which would only improve my mental health.,,,White,Female,Yes,No,No
2/22/2020 9:48:43,1L,B,A,A-,Disagree,Disagree,Disagree,Agree,"I don't worry about my grades much because I plan to go into PI service work. However, the arbitrariness of the grades has made me feel a little unmoored from an understanding of what to prioritize.",Agree,Agree,Disagree,Public Interest/Government,Yes,,,,White,Female,Yes,No,No
2/22/2020 9:48:44,1L,A-,A,B+,Neutral,Agree,Agree,Neutral,It’s definitely a stressor but not one I can’t handle. I think getting rid of the B- as has been mooted would help. ,Agree,Agree,Agree,Private Law,Yes,"I think it would be beneficial, but it would likely also induce me to slack off. ","I think it’d be positive, but I’d be interested to see how employers would respond to it. ",,White,Male,No,No,No
2/22/2020 9:48:57,1L,A-,A-,A,"Neutral, Disagree",Neutral,Agree,Agree,No,Disagree,Neutral,Agree,"Private Law, Public Interest/Government, Clerkship",No,No,,,White,Male,No,No,No
2/22/2020 9:49:59,1L,A,B,B+,Agree,Agree,Neutral,Disagree,"added stress at the end of the semester, but a normal amount; added motivation to make an effort",Disagree,Neutral,Strongly Disagree,Private Law,Yes,"decreased stress with regards to classes, increased stress with regards to jobs for 2L summer","would be more stressful going into EIW because, assuming everyone has all Passes, the focus would have to be all on soft factors and I'd be worried about being at a disadvantage as someone less comfortable and connected in the legal world/professional world in general",,White,Female,No,No,No
2/22/2020 9:50:56,1L,B+,B,A-,Disagree,Strongly Disagree,Strongly Disagree,Agree,negatively,Agree,Disagree,Agree,Private Law,No,,,"i think the issue is the strict curve we are graded on, not the fact that we are receiving letter grades",White,Female,No,No,No
2/22/2020 9:51:41,1L,B+,B,A-,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,"Yes, too much stress",Strongly Agree,Neutral,Agree,Private Law,Yes,,,,White,Female,No,No,Yes
2/22/2020 9:52:51,1L,A,A-,A,Neutral,Agree,Strongly Agree,Disagree,"The curve incentivized working as much as possible, and this caused a lot of stress during finals, but it was not overwhelming.",Neutral,Disagree,Strongly Agree,"Private Law, Clerkship",No,It would relieve a lot of stress.,"While I think there are very strong benefits to a grading system that prioritizes the mental health of students, I think there is a decent tradeoff involved. An all pass-fail system the first year would obviously prevent students from distinguishing themselves based on their classroom performance for the purposes of job applications. I think this would be especially disadvantageous for students that come straight from college, who generally have no real work experience.",,White,Male,Yes,No,Yes
2/22/2020 9:53:06,1L,A+,B+,A,Neutral,Disagree,Agree,Agree,"not good! it’s a constant source of stress and anxiety, insomnia, poor physical health, poor nutrition... all of which compounds.",Agree,Neutral,Strongly Agree,"Public Interest/Government, Clerkship",No,of course in that limited respect it would be better ,i am concerned it goes too far.,,White,Male,No,Yes,No
