Which section?,I feel confident in the course material,System of Grading is fair in terms of rewarding effort and participation,in terms of accurately reflecting knowledge of course material,in terms of equalizing the playing field,What average letter grade do you expect to receive this semester?,Grades are important for your career path,What do you plan on doing after you graduate?,Any elaboration (on the back)?,NYU's current grading system makes you feel good.
1,Neutral,Neutral,Disagree,Strongly Disagree,B,Neutral,Public Interest / Government,,
1,Agree,Agree,Agree,Disagree,B+,Agree,Public Interest / Government,,
1,Disagree,Disagree,Strongly Disagree,Strongly Disagree,B,Agree,"Public Interest / Government, Clerkship",,
1,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,B-,Disagree,Public Interest / Government,,
1,Agree,Neutral,Neutral,Neutral,B+,Agree,Private,,
1,Neutral,Disagree,Disagree,Neutral,B,Neutral,Private,,
1,Agree,Disagree,Disagree,Disagree,B,Disagree,Public Interest / Government,,
1,Neutral,Neutral,Agree,Neutral,B+,,Public Interest / Government,,
1,Strongly Disagree,Strongly Agree,Neutral,Neutral,B-,Agree,"Private, Public Interest / Government, Clerkship, N/A",,
1,Agree,Neutral,Neutral,Disagree,B+,Agree,Private,,
1,Agree,Disagree,Agree,Neutral,B,Agree,Private,,
1,Agree,Neutral,Disagree,Neutral,B,Agree,"Private, Public Interest / Government",,
1,Agree,Disagree,Disagree,Strongly Disagree,B,Strongly Agree,"Public Interest / Government, Clerkship",,
1,Disagree,Neutral,Neutral,Neutral,B+,Strongly Agree,Private,,
1,Strongly Agree,Agree,Strongly Agree,Disagree,A-,Neutral,Private,"I think it's probable that the professors know how to write an exam that has a distribution on it that reflects some sort of mastery over the material. I do think there should be more wiggle room in the % that can receive each grade, so that close exams don't get decided so arbitrarily.",
1,Neutral,Disagree,Neutral,Disagree,B+,Agree,N/A,,
1,Agree,Strongly Disagree,Disagree,Disagree,B,Neutral,Public Interest / Government,,
1,Neutral,Disagree,Neutral,Neutral,B+,Neutral,Public Interest / Government,"I don't know anything, so I'm neutral about it all.",
1,Agree,Neutral,Neutral,Neutral,B+,Disagree,Private,,
1,Neutral,Disagree,Disagree,Disagree,B+,Agree,Private,,
1,Disagree,Disagree,Disagree,Strongly Disagree,B,Agree,"Private, Public Interest / Government, Clerkship, N/A",,
1,Neutral,Disagree,Disagree,Disagree,B,Agree,"Private, Public Interest / Government, Clerkship",,
1,Agree,Agree,Agree,Neutral,,Agree,"Private, Public Interest / Government, Clerkship",,
1,Agree,Disagree,Neutral,Neutral,B+,Neutral,Public Interest / Government,,
1,Neutral,Neutral,Agree,Neutral,B+,Agree,Private,,
1,Agree,Disagree,Agree,Neutral,B,Strongly Agree,Public Interest / Government,,
1,Neutral,Disagree,Disagree,Neutral,B+,Strongly Agree,"Public Interest / Government, Clerkship",,
1,Neutral,Disagree,Disagree,Disagree,B,Neutral,Public Interest / Government,,
1,Neutral,Agree,Neutral,Neutral,B,Neutral,"Private, Public Interest / Government",,
1,Agree,Disagree,Agree,Disagree,A-,Agree,"Private, Clerkship",,
1,Agree,Disagree,Agree,Disagree,A-,Strongly Agree,"Private, Public Interest / Government, Clerkship",,
1,Agree,Neutral,Neutral,Neutral,B+,Agree,"Private, Public Interest / Government",,
1,Neutral,Disagree,Disagree,Disagree,B+,Agree,"Private, Public Interest / Government",,
1,Agree,Neutral,Agree,Agree,B+,Agree,Private,,
1,Neutral,Strongly Disagree,Neutral,Disagree,B+,Strongly Agree,"Private, Clerkship",,
1,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,B+,Neutral,Public Interest / Government,,
1,Neutral,Agree,Neutral,Disagree,B+,Agree,Private,,
1,Agree,Strongly Agree,Strongly Agree,Strongly Agree,A,Strongly Agree,Private,,
1,Neutral,,Disagree,Agree,B+,Agree,"Public Interest / Government, Clerkship",,
1,Neutral,Neutral,Neutral,Neutral,B+,Strongly Agree,Private,,
1,Agree,Neutral,Agree,Disagree,B+,Agree,Private,,
1,Disagree,Neutral,Disagree,Disagree,B,Neutral,Public Interest / Government,,
1,Neutral,Strongly Disagree,Disagree,Strongly Disagree,A-,Strongly Agree,"Private, Public Interest / Government, Clerkship",,
1,Agree,Disagree,Disagree,Disagree,B,Agree,"Private, Public Interest / Government",,
1,Neutral,Agree,Neutral,Neutral,B,Strongly Agree,Public Interest / Government,,
